oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
61,100057,100019,,100014,,,dbhids_else,Merakey Parkside Recovery,Germantown,,https://www.merakey.org/services/addiction-recovery,,215-754-0240 x207 or x165,866-647-0007,215-754-0246,5429 Germantown Avenue,,Philadelphia,PA,19144,40.03397502,-75.17134698,Yes,Yes,Yes,Yes,Yes,,,,False,False,False,,,,,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,False,,,
62,100095,100021,,,,,dbhids_else,Merakey Parkside Recovery,Knights Road,,https://www.merakey.org/services/addiction-recovery,,215-632-9040 x190,866-647-0007,215-632-9040 x234,11082 Knights Road,,Philadelphia,PA,19154,40.08360301,-74.97527096,Yes,Yes,No,No,Yes,,,,False,,False,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,False,,,
63,100012,100023,,100019,,,dbhids_else,Northeast Treatment Centers (NET),Spring Garden Counseling Center,,http://netcenters.org/,,215-451-7100,877-638-4581,215-451-7000,499 North 5th Street,,Philadelphia,PA,19123,39.96048776,-75.14671186,Yes,Yes,No,Yes,Yes,,,,False,False,False,,,,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,False,,,
64,100075,100025,,100015,,,dbhids_else,Northeast Treatment Centers,NET Steps II,,http://netcenters.org/,,267-348-3550,267-348-3580,,7520 State Road,,Philadelphia,PA,19136,40.029456,-75.02666401,Yes,Yes,Yes,Yes,Yes,,,,False,False,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,False,,,
65,100062,100026,,,,,dbhids_else,Northeast Treatment Centers (NET),Frankford,,http://netcenters.org/,,267-597-3921,267-597-3920,215-451-7100,4625 Frankford Avenue,2nd Floor,Philadelphia,PA,19124,40.01520002,-75.08480903,Yes,No,No,No,Yes,,,,False,,False,,,,,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Unclear,No,No,No,No,No,No,Unclear,No,Yes,Yes,False,,,
66,,100027,,,100053,,dbhids_coe,Pathways to Housing,Project HOME,,https://pathwaystohousingpa.org/,https://projecthome.org/integrated-medical-behavioral-health-services,215-390-1500,,,5201 Old York Rd,Suite 108,Philadelphia,PA,19141,40.032958,-75.144659,Yes,Yes,No,No,Yes,,,,,,False,,False,,Yes,Yes,Yes,Yes,Yes,,,No,No,,Yes,No,,,,,,,Yes,,,,False,,,
67,,100029,,,,100070,dbhids_coe,Penn Medicine,Mothers Matter Program,,https://www.med.upenn.edu/womenswellness/,https://www.pennmedicine.org/updates/blogs/womens-health/2018/march/mothers-matter-offers-compassionate-care-for-maternity-opiate-use,267-593-2969,,,3400 Spruce St,1 West Gates,Philadelphia,PA,19103,39.94998998,-75.19360504,Yes,No,No,No,Yes,,,[_] Reconcile DBHIDS/SAMHSA for outpatient yes/no,,,False,,,False,,,,,,,,No,Unclear,,,No,,,Yes,,,,,,,,False,,,
68,100129,100031,,,,,dbhids_else,PATH,"People Acting To Help, Inc.",,http://www.pathcenter.org,,215-728-4600,215-728-4565,,8220 Castor Avenue,,Philadelphia,PA,19152,40.0650587,-75.05319464,Yes,Yes,No,No,Yes,,,[_] Reconcile DBHIDS/SAMHSA for buprenorphine yes/no and naltrexone yes/no,False,,False,,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,False,,,
69,,100033,,,,100071,dbhids_coe,Prevention Point,Project HOME Primary Care in Rooms 4-5,,https://ppponline.org/,,215-634-5272,215-320-6187,,2913 Kensington Avenue,,Philadelphia,PA,19134,39.99272902,-75.11965603,Yes,Yes,No,No,Yes,,,,,,False,,False,False,Yes,Yes,Yes,Yes,Yes,,,No,No,,,No,,,,,,,Yes,,,,False,,,
70,,100034,,,100054,100072,dbhids_coe,Project HOME,Stephen Klein Wellness Center,Primary Care in Rooms 4-5,https://projecthome.org/stephen-klein-wellness-center,https://projecthome.org/integrated-medical-behavioral-health-services,215-320-6187 x5756,,,2144 Cecil B. Moore Avenue,,Philadelphia,PA,19121,39.98016601,-75.17080802,Yes,Yes,No,No,Yes,,,,,,False,,False,False,Yes,Yes,Yes,Yes,Yes,,,No,No,,,No,,,,,,,,,,,False,,,
71,100085,100035,,100018,,,dbhids_else,SOAR Corp,Recovery Center (Philadelphia Program),,https://www.soarcorp.org/,https://www.soarcorp.org/hours-of-operation,215-464-4450,866-616-4450,,9150 Marshall Street,Suite 2 and/or Suite 18,Philadelphia,PA,19114,40.07245022,-75.03190542,Unclear,No,Yes,Yes,Yes,,,[_] Reconcile DBHIDS/SAMHSA for buprenorphine no/yes,False,False,False,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,False,,,
72,100003,100036,,100003,,100073,dbhids_coe,Jefferson University Hospitals,Family Center,Specialized Program for Pregnant Women,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,https://hospitals.jefferson.edu/find-a-location/locations/1233-locust-street.html,215-955-8577,215-955-3792,,1233 Locust Street,Suite 201 or 4th Floor,Philadelphia,PA,19107,39.94811499,-75.16194299,Yes,No,Yes,Yes,Yes,,,Women only,False,False,False,,,False,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
73,100014,100037,,100004,,,dbhids_coe,Jefferson University Hospitals,Narcotic Addict Rehabilitation Program (NARP),,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,215-735-5979,215-790-9942,,1021 South 21st Street,NE Corner with Washington Avenue,Philadelphia,PA,19146,39.94000768,-75.17798687,Yes,No,Yes,Yes,Yes,,,,False,False,False,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Unclear,No,Yes,Yes,False,,,
74,,100038,,,,100074,dbhids_coe,Temple Wedge Opioid (TWO) Treatment Program,,,https://medicine.temple.edu/news/temple-launches-center-excellence-address-opioid-use-pregnancy,https://www.templehealth.org/locations/temple-university-hospital,215-707-3008,,,3401 North Broad Street,,Philadelphia,PA,19140,40.005339,-75.15073596,Yes,No,No,No,Yes,,,,,,False,,,False,,,,,,,,No,No,,,No,,,Yes,,,,,,,,False,,,
75,100044,100039,,,,,dbhids_coe,Wedge Recovery Centers,,,https://www.wedgepc.com/3609-north-broad-street/,,215-276-3922,,,3609 North Broad Street,,Philadelphia,PA,19140,40.00797901,-75.15108297,Yes,Yes,No,No,Yes,,,,False,,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
76,100027,100040,,,,,dbhids_coe,Wedge Recovery Centers,,,https://www.wedgepc.com/2009-south-broad-street/,,215-276-3922,,,2009 South Broad Street,,Philadelphia,PA,19148,39.92518999,-75.16905201,Yes,Yes,No,No,Yes,,,,False,,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,,
77,100058,100041,,,,,dbhids_coe,Wedge Recovery Centers,,,https://www.wedgepc.com/4243-frankford-ave/,,215-276-3922,,,4243 Frankford Avenue,,Philadelphia,PA,19124,40.00957702,-75.08885002,Yes,Yes,No,No,Yes,,,,False,,False,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
78,,,,,,100009,other_mat,Jefferson University Hospitals,,,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,https://www.jefferson.edu/academics/colleges-schools-institutes/skmc/departments/family-medicine/fellowships/hospice-palliative/faculty.html,215-503-6337,,,1015 Walnut Street,Suite 401,Philadelphia,PA,19107,39.94879401,-75.15793099,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
79,100006,,,,,,samhsa_else,Jefferson University Hospitals,Outreach Program,,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,https://hospitals.jefferson.edu/find-a-location/locations/833-chestnut-street.html,215-503-2823,215-955-8856,,833 Chestnut Street East,Suite 210-E,Philadelphia,PA,19107,39.94979713,-75.15482953,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,False,,,
80,100011,,,,,,samhsa_else,Jefferson University Hospitals,Intensive Outpatient Program,,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-790-9942,215-790-9942 x262,215-735-5979 x262,1021 South 21st Street,2nd Floor,Philadelphia,PA,19146,39.94000768,-75.17798687,No,No,Yes,Yes,Yes,,,,False,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,False,,,
81,,100020,,,,,dbhids_else,Merakey at Temple Health Episcopal Hospital,,,https://www.merakey.org/services/addiction-recovery,,215-634-2520,,,100 East Lehigh Avenue,,Philadelphia,PA,19125,39.98999999,-75.12924501,Yes,Yes,No,No,Yes,Unclear,,,,,False,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,False,,,
82,,,,,,100010,tbd_unclear,Northeast Treatment Centers (NET),North Counseling Center,,http://netcenters.org/services/addiction-recovery-programs/,,215-226-1600,,,2701 North Broad Street,,Philadelphia,PA,19132,39.99415101,-75.15391899,,,,,Unclear,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,True,,,
83,100002,,,,,,samhsa_else,Rehab After Work,Outpatient Rehab in Philadelphia,Center City Location,https://rehabafterwork.pyramidhealthcarepa.com/locations/pennsylvania/center-city-philadelphia/,,215-546-2200,610-644-6464,,1420 Walnut Street,Suite 500,Philadelphia,PA,19102,39.94916298,-75.16549901,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,False,,,
84,100007,,,,,,samhsa_else,Mazzoni Center,Behavioral Health Services,,https://www.mazzonicenter.org/,,215-563-0652 x248,,,1348 Bainbridge Street,,Philadelphia,PA,19147,39.94255,-75.16490498,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,False,,,
85,100010,,,,,,samhsa_else,Gaudenzia Inc.,Washington House,,https://www.gaudenzia.org/,,215-985-1200,215-985-1200 x2606,215-985-1200 x2605,1516 Washington Avenue,,Philadelphia,PA,19146,39.93813881,-75.16936099,No,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,False,,,
86,100022,,,,100031,,samhsa_else,GPHA,Al-Assist Behavioral Healthcare Center,,https://www.gphainc.org/locations/find-a-location-near-you/#al-assist-behavioral-healthcare-center,,215-339-1070,215-339-1079,,1401 South 4th Street,,Philadelphia,PA,19147,39.93060201,-75.15147801,Unclear,No,No,No,Unclear,,,,False,,,,False,,Yes,Yes,Unclear,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
87,100023,,,,,,samhsa_else,"The Consortium, Inc.",Methadone Maintenance Program,,https://consortiuminc.org/addiction-services/,,215-596-8000,267-233-5875,215-596-5874 x1203,451 South University Avenue,,Philadelphia,PA,19104,39.94826101,-75.197984,Yes,Yes,Yes,Yes,Yes,,,,False,,,,,,Unclear,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,False,,"[_] Are Consortium patients able to get primary care at this address through FQHC (451 South University Ave, Suite 202 = Spectrum Health Services, acc. HRSA)? Should phone3 be 215-596-5876 (website)?",
88,,,,,,,tbd_unclear,"Spectrum Health Services, Inc.",The Consortium,,,,215-471-2761,,,451 South University Avenue,Suite 202,Philadelphia,PA,19104,39.94826101,-75.197984,Yes,,,,Unclear,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,"[_] How/Is the FQHC Spectrum Health Services related to The Consortium at this address (from HRSA, but not listed at https://www.spectrumhs.org/locations/)?",
89,"[100026,100029]",,,100005,,100075,samhsa_otp,Philadelphia Veterans Affairs Medical Center,Corporal Michael J. Crescenz VAMC,,https://www.philadelphia.va.gov/services/Behavioral_Health.asp,,215-823-5809,215-823-4014,215-823-4070,3900 Woodland Avenue,,Philadelphia,PA,19104,39.94819001,-75.19998601,Yes,Yes,Yes,Yes,Yes,,,,False,False,,,,False,,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,False,,,
90,100028,,,,,,samhsa_else,Penn Medicine,Total Recovery,,https://www.med.upenn.edu/recovery/,,215-662-8747,215-662-8724,,4040 Market St,"2nd Floor, Suites 200 and 220",Philadelphia,PA,19104,39.95693598,-75.20344799,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
91,100031,,,100013,,,samhsa_otp,Kensington Hospital,Methadone Maintenance/Outpatient Treatment Program,,https://kensingtonhospital.org/,,215-426-8100 x7001,215-426-8100 x6005,215-426-8100 x7002,2100 North Front Street,,Philadelphia,PA,19122,39.98176,-75.13308099,No,No,Yes,Yes,Yes,,,,False,False,,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
92,100032,,,,,,samhsa_else,Center For Family Services,Family First Program,,https://www.centerffs.org/,,856-963-0200,877-922-2377,,594 Benson St,,Camden,NJ,08103,39.94062501,-75.11772903,No,Yes,No,No,Yes,,,,False,,,,,,,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,False,,,
93,100033,,,,,,samhsa_else,SODAT of New Jersey Inc.,Services to Overcome Drug Abuse Among Teenagers,,http://www.sodat.org/,,856-964-5000,856-964-2940,,805 Federal St #815,2nd Floor,Camden,NJ,08103,39.94440701,-75.116142,No,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,False,,,
94,100035,,,,,,ba_monthly,Horizon House,Susquehanna Park Residential Treatment,,https://www.hhinc.org/behavioral-health-services/residential-treatment/,,215-765-8051 x149,215-765-8051 x101,,2137 North 33rd Street,,Philadelphia,PA,19121,39.98998201,-75.18636802,Yes,Yes,No,No,Yes,,,"Men only | For bed availability, see: ""Journey of Hope Project""",False,,,,,,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,False,,,
95,100064,,,,100014,,samhsa_else,DVCH & Merakey,Fairmount Primary Care Center at Sharon Hill,,https://dvch.org/fairmount-primary-sharon-hill/,https://www.merakey.org/services/addiction-recovery,610-278-7381,610-534-3636,610-537-1765,800 Chester Pike,,Sharon Hill,PA,19079,39.91184499,-75.269876,Yes,Yes,No,No,Yes,,,,False,,,,False,,Yes,Yes,Yes,Yes,Unclear,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,Updated phone2 from Merakey website 2021-07-19 (https://www.merakey.org/locations?page=&state=PA&zip=19079&distance=25&state=#search-results),
96,100039,,,,,,samhsa_else,Asociación Puertorriqueños en Marcha,,,https://apmphila.org/how-we-help/health/,,267-296-7220,215-259-3373,,2921 North 5th Street,,Philadelphia,PA,19133,39.99567299,-75.13913398,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
97,100038,,,,,,samhsa_else,Casa de Consejeria y Salud Integral,,,https://www.casacares.net/,,215-501-7629,,,616 West Lehigh Avenue,,Philadelphia,PA,19133,39.99217401,-75.14280702,Yes,No,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,False,,,
98,100070,,,,,,samhsa_else,Gaudenzia Inc.,,,https://www.gaudenzia.org/,,215-924-6322 x2851,215-238-2163 x2204,,1300 East Tulpehocken Street,,Philadelphia,PA,19138,40.05688651,-75.16424879,Yes,Yes,No,No,Yes,,,Women only,False,,,,,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
99,100059,,,,,,samhsa_else,Gaudenzia Inc.,Outreach II,,https://www.gaudenzia.org/,,215-849-7200 x2481,215-849-7200,,39 East Schoolhouse Lane,,Philadelphia,PA,19144,40.03519002,-75.17218902,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,False,,,
100,100055,,,,,,samhsa_else,Gaudenzia Inc.,ReEntry House,,https://www.gaudenzia.org/,,215-438-5082,484-678-7358,,5401 Wayne Avenue,,Philadelphia,PA,19144,40.029585,-75.174557,Yes,Yes,No,No,Yes,,,Men only,False,,,,,,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,False,,,
101,100040,,,,,,samhsa_else,Gaudenzia Inc.,Broad Street Facility,,https://www.gaudenzia.org/,,215-223-9460 x2406,215-223-9460 x2416,215-565-6312,3025 North Broad Street,,Philadelphia,PA,19132,39.99925802,-75.15306102,No,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
102,100101,,,,,,samhsa_else,Gaudenzia Inc.,Together House/People With Hope,,https://www.gaudenzia.org/,,215-238-2163 x2216,215-238-2163 x2293,215-413-8268 x2242,1306 Spring Garden Street,8th Floor,Philadelphia,PA,19123,39.961763,-75.15979999,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,True,Source removed record,Might be closed: listing removed from SAMHSA in 2021q1 or 2021q2,
103,100103,,,,,,samhsa_else,Gaudenzia Inc.,,,https://www.gaudenzia.org/,,215-228-7595,215-228-7977,,1834 West Tioga Street,,Philadelphia,PA,19140,40.00693999,-75.15974299,Yes,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,True,Source removed record,Might be closed: listing removed from SAMHSA in 2021q1 or 2021q2,
104,100077,,,100017,,,samhsa_otp,The Healing Way,,,http://thehealingway.net/,,215-335-3520 x110,215-335-3520,,7900 Frankford Avenue,,Philadelphia,PA,19136,40.041112,-75.02990002,No,No,Yes,Yes,Yes,,,,False,False,,,,,,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
105,100063,,,,,,samhsa_else,"Intercommunity Action, Inc. (Interact)",Greenridge Counseling Center,,https://intercommunityaction.org/,,215-487-1330,,,6122 Ridge Avenue,,Philadelphia,PA,19128,40.03379799,-75.21604197,No,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
106,100083,,,,,,samhsa_else,Livengrin Counseling Center,,,https://livengrin.org/,,215-638-5200,,,9140 Academy Road,,Philadelphia,PA,19114,40.05534099,-75.00792501,No,Yes,No,No,Yes,,,,False,,,,,,,,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,False,,,
107,100049,,,,,100076,samhsa_else,Belmont Behavioral Hospital,,,https://www.belmontbehavioral.com/,,215-877-2000,215-581-3700,,4200 Monument Road,,Philadelphia,PA,19131,39.999924,-75.21511401,Unclear,Yes,No,No,Yes,,,"SAMHSA Find Treatment lists no buprenorphine, but SAMHSA Buprenorphine Practitioner directory lists several waivered providers at this address",False,,,,,False,,,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,,
108,100041,,,,,100077,samhsa_else,Southwest Nu-Stop,Recovery and Educational Center,,https://www.swnustop.com/,,215-729-2014,,,5616 Woodland Avenue,,Philadelphia,PA,19143,39.93381098,-75.22207803,Yes,Yes,No,No,Yes,,,,False,,,,,False,,,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
109,100060,,,,,,samhsa_else,The Bridge Philadelphia,(a PHMC affiliate),,https://thebridge.phmc.org/,,215-342-5000,215-342-5000 x7425,215-342-5000 x7424,1100 Adams Avenue,,Philadelphia,PA,19124,40.01697401,-75.09466799,No,No,No,No,Unclear,,,,False,,,,,,,,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,True,No MAT?,,
110,100046,,,,,,samhsa_else,Women's Institute for Family Health,,,https://www.wifamilyhealth.org/,,215-747-2391,,,5936 Chestnut Street,1st Floor,Philadelphia,PA,19139,39.96017299,-75.24053699,Yes,No,No,No,Yes,,,,False,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,False,,,
111,100082,,,,,,samhsa_else,Unity Place,,,https://unityplace1.com/,,856-424-4142,,,1 Keystone Ave,Suite 100,Cherry Hill,NJ,08003,39.90781099,-74.967497,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
112,"[100089,100090]",,,100165,,,samhsa_otp,Crozer Chester Medical Center,First Steps,,https://www.crozerhealth.org/behavioral-health,https://www.crozerhealth.org/behavioral-health,610-447-2000,610-619-8600,610-619-7370,1 Medical Center Boulevard,,Chester,PA,19013,39.85601598,-75.36816899,Yes,Yes,Yes,Yes,Yes,,,See 2 SAMHSA entries for differences (program with methadone includes payment assistance and domestic violence safety assistance but not telehealth),False,False,,,,,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,False,,[_] Do 2 SAMHSA entries describe different programs or is one out of date?,
113,100080,,,,,,samhsa_else,Bravo Medical LLC,,,https://recoverycentersofamerica.com/locations/bravo-medical/,,856-679-2500,,,1200 South White Horse Pike,10 Somerdale Square,Somerdale,NJ,08083,39.83509999,-75.00508103,Yes,No,Yes,Yes,Yes,,,,False,,,,,,,,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,False,,,
114,100098,,,,,,samhsa_else,Sobriety Solutions of Pennsylvania,,,https://sobrietysolutions.com/,,833-880-4357,,,1000 Germantown Pike,Suite E-1,Plymouth Meeting,PA,19462,40.12922802,-75.29895098,No,Yes,No,No,Yes,,,,False,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,False,,,
115,100050,,,,,,samhsa_else,"My Father's House, Inc.",,,https://www.mfhinc.org/,,856-742-0900,,,104 North King Street,,Gloucester City,NJ,08030,39.899874,-75.12392401,No,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,False,,,
116,100084,,,,,,samhsa_else,Center for Family Services,Substance Abuse Treatment Services,,https://www.centerffs.org/our-services/addiction-and-recovery,,856-428-5688,877-922-2377,856-428-5688 x100,108 Somerdale Road,,Voorhees,NJ,08043,39.85142702,-75.005766,No,Yes,No,No,Yes,,,,False,,,,,,,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,,
117,,,,100021,,100078,samhsa_otp,"Men & Women for Human Excellence, Inc. (MWFHE)",Opioid Treatment Program,,https://mwfhe.org/,,"267-639-9265 (referral line, 8 AM to 8 PM, 7 days)",215-594-3581 (24-hour hotline),215-769-7045,2603 West Cecil B. Moore Avenue,,Philadelphia,PA,19121,39.98140402,-75.17742604,,,,Yes,Yes,,,Website lists distinct contact information for 2603 West Cecil B. Moore Ave and 2600 West Cecil B. Moore Ave ,,False,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
118,100072,,,,,,samhsa_else,SODAT of New Jersey Inc.,Services to Overcome Drug Abuse Among Teenagers,,http://www.sodat.org/,,856-845-6363,888-792-4383,,124 North Broad Street,,Deptford,NJ,08096,39.84065282,-75.15134565,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,False,,,
119,100081,,,,,,samhsa_else,Victory Bay Recovery Center,,,https://www.victorybayrecovery.com/,,856-282-2050,888-445-0098,,1395 Chews Landing Road,,Clementon,NJ,08021,39.82434855,-75.04748722,Yes,Yes,No,No,Yes,,,,False,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,False,,,
120,100073,,,,,,samhsa_else,Sunrise Detox Cherry Hill,,,https://sunrisedetoxcherryhill.com/,,856-795-0036,888-443-3869,,1417 Brace Road,,Cherry Hill,NJ,08034,39.891663,-75.01607499,Yes,No,No,No,Yes,,,,False,,,,,,,,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,False,,,
