oid,site_id,website1,website2,phone1,phone2,street1,street2,city,state_usa,zipcode,name1,name2,name3,id_hfp_fqhc,id_samhsa_ftloc,id_samhsa_otp,id_dbhids_tad,archival_only,why_hidden,data_review,latitude,longitude,mat_avail,bu,mu,nu,fqhc,prim_care,telehealth
93,S00093,https://hospitals.jefferson.edu/find-a-location/locations/1233-locust-street.html,,215-955-8577,215-955-3792,1233 Locust St,Suite 401,Philadelphia,PA,19107,Jefferson University Hospitals,Family Center of Thomas Jefferson University,,NULL,24,3,36,False,,See also https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,39.94793,-75.1617,,,,,,,
94,S00094,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,,215-955-8420,215-955-8856,833 Chestnut St East,Suite 210-E,Philadelphia,PA,19107,Jefferson University Hospitals,Jefferson Outreach Program,,NULL,35,NULL,NULL,False,,[_] Address offers 2+ programs: Create second record for IOP (with phone2)?,39.9499,-75.1551,,,,,,,
95,S00095,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,,215-790-9942,,1021 South 21st St,"2nd Floor, NE Corner, 21st St & Washington Ave",Philadelphia,PA,19146,Jefferson University Hospitals,Jefferson Intensive Substance Abuse Treatment Program (IOP),,NULL,56,NULL,NULL,False,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,39.94001,-75.178,,,,,,,
96,S00096,https://www.merakey.org/,,215-754-0240,,5429 Germantown Ave,,Philadelphia,PA,19144,Merakey,Merakey [Germantown Ave],,NULL,6,14,19,False,,"Merakey website has ""5429-37"" for street_address",40.03383,-75.171,,,,,,,
97,S00097,https://www.merakey.org/,,215-879-6116,,5000 Parkside Ave,,Philadelphia,PA,19131,Merakey,Merakey [Parkside Ave],,NULL,3,8,18,False,,,39.97968,-75.2198,,,,,,,
98,S00098,https://www.merakey.org/,,215-632-9040,,11082 Knights Rd,,Philadelphia,PA,19154,Merakey,Merakey [Knights Rd],,NULL,21,NULL,21,False,,,40.08363,-74.9753,,,,,,,
99,S00099,https://www.merakey.org/,,215-634-2520,,100 East Lehigh Ave,MAB Suite 201,Philadelphia,PA,19125,Merakey,Merakey at Temple Health Episcopal Hospital,,NULL,NULL,NULL,20,False,,,39.98968,-75.1282,,,,,,,
100,S00100,http://netcenters.org/services/addiction-recovery-programs/,,215-743-6150,,2205 Bridge St.,,Philadelphia,PA,19137,NET Community Care,NET Steps,,NULL,"[2, 10]",11,24,False,,"[_] Does this record need a separate entry for NET Community Care: Wharton Residential Center (phone = 215-288-5490, samhsa_ftloc = 10)?",40.01053,-75.0694,,,,,,,
101,S00101,http://netcenters.org/services/addiction-recovery-programs/,,267-348-3550,,7520 State Rd,,Philadelphia,PA,19136,NET Community Care,NET Steps,,NULL,4,15,25,False,,,40.02957,-75.0268,,,,,,,
102,S00102,http://netcenters.org/services/addiction-recovery-programs/,,215-451-7100,,499 North 5th St,Suite C,Philadelphia,PA,19123,NET Community Care,Spring Garden Counseling Center,,NULL,14,19,"[23, 42]",False,,Admin office is at Suite A of this address (phone 215-451-7000),39.96049,-75.1467,,,,,,,
103,S00103,http://netcenters.org/services/addiction-recovery-programs/,,267-597-3920,,4625 Frankford Ave,,Philadelphia,PA,19124,NET Community Care,Frankford Avenue Counseling Center,,NULL,51,NULL,26,False,,,40.0152,-75.0848,,,,,,,
104,S00104,http://netcenters.org/services/addiction-recovery-programs/,,215-747-6480,,5501 Chestnut St,,Philadelphia,PA,19139,NET Community Care,West Counseling Center,,NULL,1018,NULL,NULL,False,,,39.95944,-75.2313,,,,,,,
105,S00105,http://netcenters.org/services/addiction-recovery-programs/,,215-226-1600,,2701 North Broad St,,Philadelphia,PA,19132,NET Community Care,North Counseling Center,,NULL,NULL,NULL,NULL,True,Data needs review,Added from NET website: Does location offer MAT?,39.99429,-75.1538,,,,,,,
106,S00106,https://bewellctr.org/,,215-787-2407,,801 West Girard Ave,,Philadelphia,PA,19122,North Philadelphia Health Systems (NPHS),The Behavioral Wellness Center at Girard,,NULL,"[47, 9, 46, 49]",6,22,False,,"See also FQHC record for same address; also, URL www.nphs.com redirects to bewellctr.org",39.97151,-75.1502,,,,,,,
107,S00107,http://www.nphs.com,,215-787-2407,,801 West Girard Ave,,Philadelphia,PA,19122,North Philadelphia Health Systems (NPHS),Goldman Clinic / Girard Medical Center,,NULL,"[41, 44, 45]",6,22,False,,URL redirects from www.nphs.com,39.97151,-75.1502,,,,,,,
108,S00108,https://www.med.upenn.edu/hallmercer/,,,,245 South 8th St,,Philadelphia,PA,19106,Penn Medicine,,,NULL,NULL,NULL,45,False,,,39.9467,-75.1545,,,,,,,
109,S00109,https://www.med.upenn.edu/penn-promotes/mwi.html,,,,3400 Spruce St,,Philadelphia,PA,19104,Penn Medicine,,,NULL,NULL,NULL,29,False,,,39.94998,-75.1941,,,,,,,
110,S00110,https://www.med.upenn.edu/psychiatry/presbyterian_treatment.html,,,,3910 Powelton Ave,,Philadelphia,PA,19104,Penn Medicine,,,NULL,NULL,NULL,NULL,False,,,39.9586,-75.2008,,,,,,,
111,S00111,https://www.med.upenn.edu/recovery/,,,,"4040 Market St, 2nd Floor",Suites 200 and 220,Philadelphia,PA,19104,Penn Medicine,,,NULL,29,NULL,NULL,False,,,39.95689,-75.2033,,,,,,,
112,S00112,https://www.pennmedicine.org/,,,,51 North 39th St,,Philadelphia,PA,19104,Penn Medicine,,,NULL,22,NULL,NULL,False,,,39.95855,-75.1983,,,,,,,
113,S00113,https://ppponline.org/,,,,2913-2915 Kensington Ave,,Philadelphia,PA,19134,Prevention Point,Prevention Point,,NULL,NULL,NULL,33,False,,,39.99273,-75.1196,,,,,,,
114,S00114,https://www.projecttransition.com/,,,,6201 North Front St,Suite 106,Philadelphia,PA,19120,Project Transition,,,NULL,1004,NULL,NULL,False,,,40.04513,-75.118,,,,,,,
115,S00115,https://www.projecttransition.com/,,,,5003 Umbria St,,Philadelphia,PA,19128,Project Transition,,,NULL,1008,NULL,NULL,False,,,40.03669,-75.2359,,,,,,,
116,S00116,https://www.projecttransition.com/,,,,3901 Conshohocken Ave,,Philadelphia,PA,19131,Project Transition,,,NULL,1009,NULL,NULL,False,,,40.00431,-75.2068,,,,,,,
117,S00117,https://www.phmc.org/site/,,,,4108 Parkside Ave,,Philadelphia,PA,19104,Public Health Management Corporation (PHMC),,,NULL,48,NULL,NULL,False,,,39.97521,-75.2074,,,,,,,
118,S00118,https://consortiuminc.org/,,,,451 South University Ave,,Philadelphia,PA,19104,"The Consortium, Inc",,,NULL,"[8, 36]",7,7,False,,,39.94689,-75.1984,,,,,,,
119,S00119,https://consortiuminc.org/,,,,137 South 58th St,,Philadelphia,PA,19139,"The Consortium, Inc",,,NULL,1012,NULL,NULL,False,,,39.95861,-75.2371,,,,,,,
120,S00120,http://thehealingway.net/,,215-335-3520,,7900 Frankford Ave,,Philadelphia,PA,19136,,The Healing Way,,NULL,60,17,NULL,False,,,40.04111,-75.0298,,,,,,,
121,S00121,http://www.aandorecoveryservices.org/,,215-426-1992,,3319 Kensington Ave,,Philadelphia,PA,19134,,Alpha and Omega Recovery Services,,NULL,1011,NULL,NULL,True,Data needs review,Did site close in 2020? http://web.archive.org/web/20200223214756/http://aandorecoveryservices.org:80/index.html,39.99803,-75.1102,,,,,,,
122,S00122,http://www.kirkbridecenter.com/,,215-471-2600,,111 North 49th St,,Philadelphia,PA,19139,,Kirkbride Center,,NULL,5,9,NULL,False,,,39.96116,-75.2194,,,,,,,
123,S00123,http://www.mwfhe.org/,,267-639-9265,215-769-7045,2603 Cecil B. Moore Ave,,Philadelphia,PA,19121,,"Men & Women for Human Excellence, Inc., Opioid Treatment Program",,NULL,NULL,21,NULL,False,,"OTP certification ""Provisional"" in Jan 2021; website lists additional phone 215-769-7045; removed ""W[est]"" from street_address to match Google Maps",39.98139,-75.1774,,,,,,,
124,S00124,http://www.pathcenter.org/,,215-728-4600,,8220 Castor Ave,,Philadelphia,PA,19152,,"People Acting To Help, Inc. (PATH), Main Campus",,NULL,1017,NULL,30,False,,"[_] Check relationship to Friends Hospital, listed on PATH website as PATH Residential Treatment Facility with same address (4641 Roosevelt Blvd, 19124), but distinct phone = 215-305-6671",40.06506,-75.0532,,,,,,,
125,S00125,http://www.soarcorp.org/,,215-464-4450,,9150 Marshall St,Suite 2,Philadelphia,PA,19114,,SOAR Corporation,,NULL,28,18,35,False,,"[_] Check address_suppl: Suite 2 (2021 website, DBHIDS TAD) or Suite 18 (SAMHSA FT Loc)?",40.07245,-75.0319,,,,,,,
126,S00126,https://fairmountbhs.com/,,,,561 Fairthorne Ave,,Philadelphia,PA,19128,,,,NULL,13,NULL,NULL,False,,,40.04305,-75.2212,,,,,,,
127,S00127,https://friendshospital.com/,,215-831-4600,,4641 Roosevelt Blvd,,Philadelphia,PA,19124,,Friends Hospital,,NULL,NULL,NULL,43,False,,"[_] Check relationship to PATH Residential Treatment Facility, listed on PATH website with different phone (215-305-6671) but same address (4641 Roosevelt Blvd, 19124)",40.02617,-75.1038,,,,,,,
128,S00128,https://intercommunityaction.org/,,,,6122 Ridge Ave,,Philadelphia,PA,19128,,,,NULL,65,NULL,NULL,False,,,40.0338,-75.216,,,,,,,
129,S00129,https://interimhouse.phmc.org/,,,,333 West Upsal St,,Philadelphia,PA,19119,,,,NULL,25,NULL,12,False,,,40.04332,-75.1888,,,,,,,
130,S00130,https://kensingtonhospital.org/,,,,136 West Diamond St,,Philadelphia,PA,19122,,,,NULL,59,NULL,17,False,,"updated site (""coming soon"") expected by early March 2021",39.98183,-75.1347,,,,,,,
131,S00131,https://kensingtonhospital.org/,,,,2100 North Front St,,Philadelphia,PA,19122,,,,NULL,54,13,NULL,False,,"updated site (""coming soon"") expected by early March 2021",39.98176,-75.1331,,,,,,,
132,S00132,https://livengrin.org/,,,,9140 Academy Rd,,Philadelphia,PA,19114,,,,NULL,61,NULL,NULL,False,,,40.05534,-75.0079,,,,,,,
133,S00133,https://medicine.temple.edu/news/temple-launches-center-excellence-address-opioid-use-pregnancy,,,,3401 North Broad St,,Philadelphia,PA,19140,,,,NULL,NULL,NULL,38,False,,,40.00473,-75.1522,,,,,,,
134,S00134,https://rehabafterwork.pyramidhealthcarepa.com/locations/pennsylvania/center-city-philadelphia/,,610-644-6464,215-546-2200,1420 Walnut St,Suite 500,Philadelphia,PA,19102,"Onward Behavioral Health, Pyramid Healthcare, Inc.","Rehab After Work, Outpatient Rehab in Philadelphia",,NULL,27,NULL,NULL,False,,,39.94918,-75.1655,,,,,,,
135,S00135,https://rehabafterwork.pyramidhealthcarepa.com/locations/pennsylvania/northeast-philadelphia/,,610-644-6464,888-694-9996,9815 Roosevelt Boulevard,Suite B,Philadelphia,PA,19114,"Onward Behavioral Health, Pyramid Healthcare, Inc.","Rehab After Work, Substance Abuse Treatment in Northeast Philadelphia",,NULL,1003,NULL,NULL,False,,,40.08594,-75.0221,,,,,,,
136,S00136,https://selfhelpmovement.org/,,215-677-7778,215-915-0002,2600 Southampton Rd,,Philadelphia,PA,19116,,"Self Help Movement, Inc.",,NULL,30,20,NULL,False,,,40.11984,-74.9953,,,,,,,
137,S00137,https://www.amhainc.org/,,,,928 Market St,,Philadelphia,PA,19107,,,,NULL,52,1,1,False,,,39.9514,-75.1561,,,,,,,
138,S00138,https://www.aporiagroup.com/,,,,525 South 4th St,"2nd Floor, Suite 243",Philadelphia,PA,19147,,,,NULL,1015,NULL,NULL,False,,,39.94187,-75.1489,,,,,,,
139,S00139,https://www.belmontbehavioral.com/,,,,4200 Monument Rd,,Philadelphia,PA,19131,,,,NULL,68,NULL,NULL,False,,,39.99949,-75.2153,,,,,,,
140,S00140,https://www.cleanslatecenters.com/philadelphia-port-richmond-pennsylvania,,,,3380 Memphis St,,Philadelphia,PA,19134,CleanSlate Outpatient Addiction Medicine,"CleanSlate (Port Richmond, PA)",,NULL,NULL,NULL,NULL,False,,,39.99129,-75.1025,,,,,,,
141,S00141,https://www.coraservices.org/,,,,8540 Verree Rd,,Philadelphia,PA,19111,,,,NULL,1002,NULL,NULL,False,,,40.08124,-75.0685,,,,,,,
142,S00142,https://www.geogroup.com/,,,,3768 L St,,Philadelphia,PA,19124,,,,NULL,1006,NULL,NULL,False,,,40.00466,-75.1035,,,,,,,
143,S00143,https://www.gpasspa.org/,,,,4943 North 5th St,,Philadelphia,PA,19120,,,,NULL,37,NULL,11,False,,,40.02694,-75.1323,,,,,,,
144,S00144,https://www.hhinc.org/,,,,2137 North 33rd St,,Philadelphia,PA,19121,,,,NULL,40,NULL,NULL,False,,,39.98993,-75.1863,,,,,,,
145,S00145,https://www.jevshumanservices.org/,,,,1745 North 4th St,,Philadelphia,PA,19122,,,,NULL,53,2,14,False,,,39.97749,-75.1414,,,,,,,
146,S00146,https://www.jevshumanservices.org/,,,,5820 Old York Rd,,Philadelphia,PA,19141,,,,NULL,55,12,13,False,,,40.04204,-75.1447,,,,,,,
147,S00147,https://www.mainlinehealth.org/find-a-doctor/mario-littman,,,,7300 City Ave,Suite 203,Philadelphia,PA,19151,,,,NULL,NULL,NULL,NULL,False,,,39.98021,-75.2676,,,,,,,
148,S00148,https://www.mazzonicenter.org/,,,,1348 Bainbridge St,,Philadelphia,PA,19147,,,,NULL,34,NULL,NULL,False,,,39.94261,-75.165,,,,,,,
149,S00149,https://www.paatc.org/,,,,329 East Wister St,,Philadelphia,PA,19144,,,,NULL,1014,NULL,NULL,False,,,40.03366,-75.1615,,,,,,,
150,S00150,https://www.philachildrenscrc.com/,,,,3300 Henry Ave,,Philadelphia,PA,19129,,Philadelphia Children’s Crisis Response Center,,NULL,NULL,NULL,47,False,,,40.01138,-75.1843,,,,,,,
151,S00151,https://www.philadelphia.va.gov/,,,,3900 Woodland Ave,,Philadelphia,PA,19104,,Philadelphia VA Medical Center (PVAMC),,NULL,"[18, 1]",5,NULL,False,,,39.94977,-75.2012,,,,,,,
152,S00152,https://www.providencetreatment.com/,,,,1528 Walnut St,Suite 1410,Philadelphia,PA,19102,,,,NULL,1001,NULL,NULL,False,,,39.94962,-75.1669,,,,,,,
153,S00153,https://www.rhd.org/morrishome/,,,,5037 Woodland Ave,,Philadelphia,PA,19143,,,,NULL,1013,NULL,NULL,False,,,39.9394,-75.2152,,,,,,,
154,S00154,https://www.swnustop.com/,,,,5616 Woodland Ave,,Philadelphia,PA,19143,,,,NULL,43,NULL,NULL,False,,,39.9338,-75.2221,,,,,,,
155,S00155,https://www.templehealth.org/locations/temple-health-episcopal-campus,,,,100 East Lehigh Ave,,Philadelphia,PA,19125,,,,NULL,NULL,NULL,46,False,,,39.98968,-75.1282,,,,,,,
156,S00156,https://www.thebridgephiladelphia.org/,,,,1100 Adams Ave,,Philadelphia,PA,19124,,,,NULL,1007,NULL,NULL,False,,,40.01634,-75.0949,,,,,,,
157,S00157,https://www.trinityhealthma.org/,,,,501 South 54th St,,Philadelphia,PA,19143,,,,NULL,38,10,50,False,,URL redirects from mercyhealth.org,39.95241,-75.2302,,,,,,,
158,S00158,https://www.wedgepc.com/,,,,4243 Frankford Ave,,Philadelphia,PA,19124,Wedge Recovery Centers,,,NULL,15,NULL,41,False,,,40.00938,-75.089,,,,,,,
159,S00159,https://www.wedgepc.com/,,,,3609 North Broad St,,Philadelphia,PA,19140,Wedge Recovery Centers,,,NULL,16,NULL,39,False,,,40.00798,-75.1511,,,,,,,
160,S00160,https://www.wedgepc.com/,,,,2009 South Broad St,,Philadelphia,PA,19148,Wedge Recovery Centers,,,NULL,17,NULL,40,False,,,39.92523,-75.169,,,,,,,
161,S00161,https://www.wifamilyhealth.org/,,,,5936 Chestnut St,1st Floor,Philadelphia,PA,19139,,,,NULL,64,NULL,NULL,False,,,39.96018,-75.2405,,,,,,,
162,S00162,https://aschermd.com/,,646-812-1421,,130 South 18th St,Apt 2102,Philadelphia,PA,19103,,"Michael Ascher, M.D., Psychiatry in Philadelphia & the Main Line",,NULL,NULL,NULL,NULL,False,,,39.95077,-75.1709,,,,,,,
163,S00163,https://www.bayada.com/offices/pa/philadelphia/1020-n--delaware-ave/home-health,,,,1020 North Delaware Ave,,Philadelphia,PA,19125,,,,NULL,NULL,NULL,NULL,False,,,39.96594,-75.1325,,,,,,,
164,S00164,https://couragemedicine.org/,,,,1010 West Lehigh Ave,,Philadelphia,PA,19133,,Courage Medicine,,NULL,NULL,NULL,NULL,True,Data needs review,This address is listed in the provider's data but conflicts with practice website,39.99289,-75.1485,,,,,,,
165,S00165,https://couragemedicine.org/about/,,215-385-5031,,7198 Castor Ave,,Philadelphia,PA,19149,,Courage Medicine,,NULL,NULL,NULL,NULL,True,Data needs review,"This address is listed on the practice website, but conflicts with provider's data",40.0492,-75.0684,,,,,,,
166,S00166,https://beasleyaddiction.com/,,267-417-9078,,2401 Pennsylvania Ave,E 1C44-45,Philadelphia,PA,19130,,Beasley Addiction Specialists,,NULL,NULL,NULL,NULL,False,,,39.96661,-75.1779,,,,,,,
167,S00167,https://www.beaumontretirement.com/about/management-team/,,,,1201 Latona St,,Philadelphia,PA,19147,,,,NULL,NULL,NULL,NULL,False,,,39.93472,-75.1643,,,,,,,
168,S00168,https://chrispagnanimd.com/,,267-687-0655,,1528 Walnut St,Suite 1415,Philadelphia,PA,19102,,"Chris Pagnani, MD PC, Private Practice of Psychiatry, Philadelphia",,NULL,NULL,NULL,NULL,False,,,39.94962,-75.1669,,,,,,,
169,S00169,https://www.familymedassoc.com/,,,,205 North Broad St,Suite 500,Philadelphia,PA,19107,,,,NULL,NULL,NULL,NULL,False,,,39.95639,-75.1627,,,,,,,
170,S00170,https://richardsobelmd.com/,,,,1500 Walnut St,Suite 902,Philadelphia,PA,19102,,,,NULL,NULL,NULL,NULL,False,,,39.9492,-75.1663,,,,,,,
171,S00171,https://www.myexecutivehealth.com/,,,,1845 Walnut St,Suite 1540,Philadelphia,PA,19103,,,,NULL,NULL,NULL,NULL,False,,,39.95067,-75.1716,,,,,,,
172,S00172,http://www.philapainclinic.com/,,215-969-2331,,12000 Bustleton Ave,Suite 208,Philadelphia,PA,19116,,Phila Pain Clinic,,NULL,NULL,NULL,NULL,True,Data needs review,[_] Is pain management clinic suitable for listing on MAT finder?,40.12235,-75.0167,,,,,,,
173,S00173,https://www.hhinc.org/,,,,5901 Market St,3rd Floor,Philadelphia,PA,19139,,,,NULL,NULL,NULL,NULL,False,,,39.96207,-75.239,,,,,,,
174,S00174,https://www.cctckids.org/about-us/overview/,,,,1080 North Delaware Ave,Suite 600,Philadelphia,PA,19125,,,,NULL,NULL,NULL,NULL,False,,,39.96568,-75.1325,,,,,,,
175,S00175,,,,,3396 Miller St,,Philadelphia,PA,19134,,New Journeys in Recovery,,NULL,1010,NULL,NULL,True,Data needs review,Did site close after 2020? http://web.archive.org/web/20201020175717/http://njir-phila.org/,39.98911,-75.1003,,,,,,,
176,S00176,https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/,,215-844-1020,,251 East Bringhurst St,,Philadelphia,PA,19144,"Covenant House Health Services, Inc.",Main Admin Office,,64,NULL,NULL,NULL,True,Not a practice site,URL converted to most recent archival copy available (2015),40.03465,-75.1649,,,,,,,
177,S00177,,,215-248-7561,,8125 Stenton Ave,,Philadelphia,PA,19150,"Covenant House Health Services, Inc.",Mt. Pleasant Health Center,,67,NULL,NULL,NULL,False,,"Only indirect URLs found, e.g. https://www.freeclinics.com/det/pa_19150_mt-pleasant-medical-center-covenant-house",40.06752,-75.1789,,,,,,,
178,S00178,,,267-331-9832,,138 Chelten Ave,2nd Floor Rear,Philadelphia,PA,19144,"Covenant House Health Services, Inc.",Covenant House Health and Dental Center,,66,NULL,NULL,NULL,False,,No online information found for this street address,40.03297,-75.1776,,,,,,,
179,S00179,,,215-844-0181,,251 East Bringhurst St,,Philadelphia,PA,19144,"Covenant House Health Services, Inc.",Covenant House Health Services,,65,NULL,NULL,NULL,False,,"URL from HFP (http://www.covenanthousehealth.org/) has been inactive since 2016 | Only indirect URLs found, e.g. https://www.freeclinics.com/det/pa_Covenant_House_Inc",40.03465,-75.1649,,,,,,,
