,DB:,site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,hfp_fqhc_id,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted,address_full,location
69,70,S00070,http://www.jfkbhc.org/,215-235-5520,,907 North Broad St,,19123,"Centralized Comprehensive Human Services, Inc.","John F. Kennedy Behavioral Health Center, Satellite Office",,7,16.0,15,,,,39.97043298556025,-75.15918399913198,,,Yes,,,,,,,,,,,,,"907 North Broad St Philadelphia, PA19123","907 N Broad St, Philadelphia, Pennsylvania, 19123"
70,71,S00071,http://www.jfkbhc.org/,215-568-0860,,112 North Broad St,,19102,"Centralized Comprehensive Human Services, Inc.",John F. Kennedy Behavioral Health Center,,66,,16,,,,39.95497901921857,-75.16354501953514,,,,,,,,,,,,,,,,"112 North Broad St Philadelphia, PA19102","112 N Broad St, Philadelphia, Pennsylvania, 19102"
71,72,S00072,https://www.comhar.org/,267-861-4382,,2055 East Allegheny Ave,,19134,COMHAR,COMHAR: The Welcome Center,,,,5,,,phone1 = COMHAR Central Registration from https://www.comhar.org/mental-health-wellness,39.99300100840301,-75.10982900630209,,,,,,,,,,,,,,,,"2055 East Allegheny Ave Philadelphia, PA19134","2055 E Allegheny Ave, Philadelphia, Pennsylvania, 19134"
72,73,S00073,https://www.comhar.org/latino-treatment-program,215-739-2669,,2600 North American St,,19133,COMHAR,COMHAR: Latino Treatment Program,,,,6,,,,39.99021498951606,-75.13687397126894,,,,,,,,,,,,,,,,"2600 North American St Philadelphia, PA19133","2600 N American St, Philadelphia, Pennsylvania, 19133"
73,74,S00074,https://drexel.edu/medicine/community-engagement/patient-care/the-caring-together-program/,215-967-2130,,4700 Wissahickon Ave,"Building C, Suite 102",19144,Drexel University Medicine,The Caring Together Program,,11,,8,,,,40.01535399351985,-75.17377697637946,,,,,,,,,,,,,,,,"4700 Wissahickon Ave Philadelphia, PA19144","4700 Wissahickon Ave, Philadelphia, Pennsylvania, 19144"
74,75,S00075,https://drexel.edu/medicine/community-engagement/patient-care/partnership-comprehensive-care-practice/,215-762-2530,,1427 Vine St,2nd Floor,19102,Drexel University Medicine,Partnership Comprehensive Care Practice,,,,,,,Also see https://towerhealth.org/locations/tower-health-medical-group-infectious-disease-philadelphia,39.95848600750719,-75.16368298566141,,,,,,,,,,,,,,,,"1427 Vine St Philadelphia, PA19102","1427 Vine St, Philadelphia, Pennsylvania, 19102"
75,76,S00076,https://towerhealth.org/locations/drexel-partnership,215-762-6565,,1427 Vine St,6th Floor,19102,Tower Health,Drexel Partnership,,,,,,,,39.95848600750719,-75.16368298566141,,,,,,,,,,,,,,,,"1427 Vine St Philadelphia, PA19102","1427 Vine St, Philadelphia, Pennsylvania, 19102"
76,77,S00077,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-vine-street,267-507-6581,,1427 Vine St,8th Floor,19102,Tower Health,Psychiatry - Vine Street,,,,,,,,39.95848600750719,-75.16368298566141,,,,,,,,,,,,,,,,"1427 Vine St Philadelphia, PA19102","1427 Vine St, Philadelphia, Pennsylvania, 19102"
77,78,S00078,https://towerhealth.org/locations/chestnut-hill-hospital,215-248-8200,,8835 Germantown Ave,,19118,Tower Health,Chestnut Hill Hospital,,,,,,,,40.07969000380473,-75.21238997355681,,,,,,,,,,,,,,,,"8835 Germantown Ave Philadelphia, PA19118","8835 Germantown Ave, Philadelphia, Pennsylvania, 19118"
78,79,S00079,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,215-248-8145,,8815 Germantown Ave,5th Floor,19118,Tower Health,Family Medicine Residency - Chestnut Hill,,,,,,,,40.07872731708923,-75.21240187740648,,,,,,,,,,,,,,,,"8815 Germantown Ave Philadelphia, PA19118","8815 Germantown Ave, Philadelphia, Pennsylvania, 19118"
79,80,S00080,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,215-762-5145,,219 North Broad St,1st Floor,19107,Tower Health,Family Medicine - Broad Street,,,,,,,,39.95689544196759,-75.1625449600235,,,,,,,,,,,,,,,,"219 North Broad St Philadelphia, PA19107","219 N Broad St, Philadelphia, Pennsylvania, 19107"
80,81,S00081,https://www.einstein.edu/einstein-medical-center-philadelphia,215-456-7890,,5501 Old York Rd,,19141,Einstein Healthcare Network,Einstein Medical Center,,,,44,,,,40.03688273879752,-75.14456505396444,,,,,,,,,,,,,,,,"5501 Old York Rd Philadelphia, PA19141","5501 Old York Rd, Philadelphia, Pennsylvania, 19141"
81,82,S00082,https://www.gaudenzia.org/,215-924-6322,,1300 East Tulpehocken St,,19138,Gaudenzia,New Image,,42,,,,,,40.05688650987097,-75.1642487871261,,,,,,,,,,,,,,,,"1300 East Tulpehocken St Philadelphia, PA19138","1300 E Tulpehocken St, Philadelphia, Pennsylvania, 19138"
82,83,S00083,https://www.gaudenzia.org/,215-849-7200,215-849-2813,39 East School House Lane,,19144,Gaudenzia,Outreach II / Recovery House,,33,,,,,"[_] Does this address need separate records for distinct programs? | Gaudenzia website has ""School House"" for street_address (matches Google Maps) vs. ""Schoolhouse"" in SAMHSA FT Loc",40.0351909827605,-75.17222498318749,,,,,,,,,,,,,,,,"39 East School House Lane Philadelphia, PA19144","39 E School House Ln, Philadelphia, Pennsylvania, 19144"
83,84,S00084,https://www.gaudenzia.org/,,,5401 Wayne Ave,,19144,Gaudenzia,Re-Entry House,,31,,,,,,40.02961001825966,-75.17455196714707,,,,,,,,,,,,,,,,"5401 Wayne Ave Philadelphia, PA19144","5401 Wayne Ave, Philadelphia, Pennsylvania, 19144"
84,85,S00085,https://www.gaudenzia.org/,215-423-6766,,3200 Henry Ave,,19129,Gaudenzia,Gaudenzia Diagnostic & Rehabilitation Center (DRC),,26,,10,,,,40.009604007941476,-75.18123502618691,,,,,,,,,,,,,,,,"3200 Henry Ave Philadelphia, PA19129","3200 Henry Ave, Philadelphia, Pennsylvania, 19129"
85,86,S00086,https://www.gaudenzia.org/,215-228-7595,215-228-0644,1834 West Tioga St,,19140,Gaudenzia,Gaudenzia WINNER Program / Philly House,,39,,,,,[_] Does this address need separate records for distinct programs?,40.00693701207962,-75.1597030065766,,,,,,,,,,,,,,,,"1834 West Tioga St Philadelphia, PA19140","1834 W Tioga St, Philadelphia, Pennsylvania, 19140"
86,87,S00087,https://www.gaudenzia.org/,215-223-9460,,3025 North Broad St,,19132,Gaudenzia,Broad Street R.I.N.T.,,67,,,,,"Gaudenzia website has ""3025-21"" for street_address",39.999270001426,-75.15306797584196,,,,,,,,,,,,,,,,"3025 North Broad St Philadelphia, PA19132","3025 N Broad St, Philadelphia, Pennsylvania, 19132"
87,88,S00088,https://www.gaudenzia.org/,215-985-1200,215-985-2143,1516 Washington Ave,,19146,Gaudenzia,Washington House / Joy of Living,,62,,,,,"[_] Does this address need two separate records? | Gaudenzia website has  street_address ""1515-1518"" for Washington House",39.93813881013704,-75.16936099335366,,,,,,,,,,,,,,,,"1516 Washington Ave Philadelphia, PA19146","1516 Washington Ave, Philadelphia, Pennsylvania, 19146"
88,89,S00089,https://www.gaudenzia.org/,215-238-2163,,1306 Spring Garden St,2nd Floor,19123,Gaudenzia,Withdrawal and Referral Management Stablization Program (WARMS),,"[20, 1005]",,"[9, 49]",,,[_] This address almost surely needs multiple records (different programs on different floors),39.96193767539335,-75.15962825159667,,,,,,,,,,,,,,,,"1306 Spring Garden St Philadelphia, PA19123","1306 Spring Garden St, Philadelphia, Pennsylvania, 19123"
89,180,S00180,https://www.gaudenzia.org/,833-647-0719,,106 West Main St,,19401,Gaudenzia,Main Admin Office,,,,,True,Not a practice site,,40.11486298409983,-75.34617797254873,,,,,,,,,,,,,,,,"106 West Main St Philadelphia, PA19401","106 W Main St, Norristown, Pennsylvania, 19401"
90,90,S00090,https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,215-955-3792,800-533-3669,1239 Spring Garden St,,19123,Jefferson University Hospitals,My Sister’s Place (MSP),,50,,,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,39.96228200381728,-75.15905500164212,,,,,,,,,,,,,,,,"1239 Spring Garden St Philadelphia, PA19123","1239 Spring Garden St, Philadelphia, Pennsylvania, 19123"
91,91,S00091,https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,215-735-5979,,1021 South 21st St,"1st Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Narcotic Addiction Rehabilitation Program (NARP),,19,4.0,37,,,See also https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,39.9400076832201,-75.177986872377,,,,,,,,,,,,,,,,"1021 South 21st St Philadelphia, PA19146","1021 S 21st St, Philadelphia, Pennsylvania, 19146"
92,92,S00092,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,215-503-6337,,1015 Walnut St,Suite 401,19107,Jefferson University Hospitals,Thomas Jefferson University Hospital,,,,,,,"Why do multiple buprenorphine providers list this address, when site does not appear to offer MAT? https://www.jefferson.edu/university/skmc/departments/family-medicine/fellowships/Hospice-Palliative/faculty.html",39.94878600814789,-75.15794900951812,,,,,,,,,,,,,,,,"1015 Walnut St Philadelphia, PA19107","1015 Walnut St, Philadelphia, Pennsylvania, 19107"
93,93,S00093,https://hospitals.jefferson.edu/find-a-location/locations/1233-locust-street.html,215-955-8577,215-955-3792,1233 Locust St,Suite 401,19107,Jefferson University Hospitals,Family Center of Thomas Jefferson University,,24,3.0,36,,,See also https://hospitals.jefferson.edu/departments-and-services/obstetrics-and-gynecology/programs-and-services/maternal-addiction-treatment.html,39.94792951005801,-75.16173454334766,,,,,,,,,,,,,,,,"1233 Locust St Philadelphia, PA19107","1233 Locust St, Philadelphia, Pennsylvania, 19107"
94,94,S00094,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-955-8420,215-955-8856,833 Chestnut St East,Suite 210-E,19107,Jefferson University Hospitals,Jefferson Outreach Program,,35,,,,,[_] Address offers 2+ programs: Create second record for IOP (with phone2)?,39.949900004989416,-75.15506999341541,,,,,,,,,,,,,,,,"833 Chestnut St East Philadelphia, PA19107","833 Chestnut St, Philadelphia, Pennsylvania, 19107"
95,95,S00095,https://www.jefferson.edu/university/jmc/departments/psychiatry/clinical/programs.html,215-790-9942,,1021 South 21st St,"2nd Floor, NE Corner, 21st St & Washington Ave",19146,Jefferson University Hospitals,Jefferson Intensive Substance Abuse Treatment Program (IOP),,56,,,,,See also https://hospitals.jefferson.edu/departments-and-services/vickie-and-jack-farber-institute-for-neuroscience/programs/psychiatry-and-human-behavior/substance-abuse-programs.html,39.9400076832201,-75.177986872377,,,,,,,,,,,,,,,,"1021 South 21st St Philadelphia, PA19146","1021 S 21st St, Philadelphia, Pennsylvania, 19146"
96,96,S00096,https://www.merakey.org/,215-754-0240,,5429 Germantown Ave,,19144,Merakey,Merakey [Germantown Ave],,6,14.0,19,,,"Merakey website has ""5429-37"" for street_address",40.03383001314188,-75.17097901328047,,,,,,,,,,,,,,,,"5429 Germantown Ave Philadelphia, PA19144","5429 Germantown Ave, Philadelphia, Pennsylvania, 19144"
97,97,S00097,https://www.merakey.org/,215-879-6116,,5000 Parkside Ave,,19131,Merakey,Merakey [Parkside Ave],,3,8.0,18,,,,39.97968300244756,-75.21978398562399,,,,,,,,,,,,,,,,"5000 Parkside Ave Philadelphia, PA19131","5000 Parkside Ave, Philadelphia, Pennsylvania, 19131"
98,98,S00098,https://www.merakey.org/,215-632-9040,,11082 Knights Rd,,19154,Merakey,Merakey [Knights Rd],,21,,21,,,,40.08363201286812,-74.97530499239234,,,,,,,,,,,,,,,,"11082 Knights Rd Philadelphia, PA19154","11082 Knights Rd, Philadelphia, Pennsylvania, 19154"
99,99,S00099,https://www.merakey.org/,215-634-2520,,100 East Lehigh Ave,MAB Suite 201,19125,Merakey,Merakey at Temple Health Episcopal Hospital,,,,20,,,,39.98968102037426,-75.12818202149504,,,,,,,,,,,,,,,,"100 East Lehigh Ave Philadelphia, PA19125","100 E Lehigh Ave, Philadelphia, Pennsylvania, 19125"
100,100,S00100,http://netcenters.org/services/addiction-recovery-programs/,215-743-6150,,2205 Bridge St.,,19137,NET Community Care,NET Steps,,"[2, 10]",11.0,24,,,"[_] Does this record need a separate entry for NET Community Care: Wharton Residential Center (phone = 215-288-5490, samhsa_ftloc = 10)?",40.01052588001427,-75.06938170276545,,,,,,,,,,,,,,,,"2205 Bridge St. Philadelphia, PA19137","2205 Bridge St, Philadelphia, Pennsylvania, 19137"
101,101,S00101,http://netcenters.org/services/addiction-recovery-programs/,267-348-3550,,7520 State Rd,,19136,NET Community Care,NET Steps,,4,15.0,25,,,,40.02956798301523,-75.02675696975867,,,,,,,,,,,,,,,,"7520 State Rd Philadelphia, PA19136","7520 State Rd, Philadelphia, Pennsylvania, 19136"
102,102,S00102,http://netcenters.org/services/addiction-recovery-programs/,215-451-7100,,499 North 5th St,Suite C,19123,NET Community Care,Spring Garden Counseling Center,,14,19.0,"[23, 42]",,,Admin office is at Suite A of this address (phone 215-451-7000),39.9604877635464,-75.14671185767747,,,,,,,,,,,,,,,,"499 North 5th St Philadelphia, PA19123","499 N 5th St, Philadelphia, Pennsylvania, 19123"
103,103,S00103,http://netcenters.org/services/addiction-recovery-programs/,267-597-3920,,4625 Frankford Ave,,19124,NET Community Care,Frankford Avenue Counseling Center,,51,,26,,,,40.015199012130125,-75.08480701366663,,,,,,,,,,,,,,,,"4625 Frankford Ave Philadelphia, PA19124","4625 Frankford Ave, Philadelphia, Pennsylvania, 19124"
104,104,S00104,http://netcenters.org/services/addiction-recovery-programs/,215-747-6480,,5501 Chestnut St,,19139,NET Community Care,West Counseling Center,,1018,,,,,,39.9594449810495,-75.2312559612241,,,,,,,,,,,,,,,,"5501 Chestnut St Philadelphia, PA19139","5501 Chestnut St, Philadelphia, Pennsylvania, 19139"
105,105,S00105,http://netcenters.org/services/addiction-recovery-programs/,215-226-1600,,2701 North Broad St,,19132,NET Community Care,North Counseling Center,,,,,True,Data needs review,Added from NET website: Does location offer MAT?,39.994289013554464,-75.1537950221234,,,,,,,,,,,,,,,,"2701 North Broad St Philadelphia, PA19132","2701 N Broad St, Philadelphia, Pennsylvania, 19132"
106,106,S00106,https://bewellctr.org/,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),The Behavioral Wellness Center at Girard,,"[47, 9, 46, 49]",6.0,22,,,"See also FQHC record for same address; also, URL www.nphs.com redirects to bewellctr.org",39.97151299378439,-75.15021502745813,,,,,,,,,,,,,,,,"801 West Girard Ave Philadelphia, PA19122","801 W Girard Ave, Philadelphia, Pennsylvania, 19122"
107,107,S00107,http://www.nphs.com,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),Goldman Clinic / Girard Medical Center,,"[41, 44, 45]",6.0,22,,,URL redirects from www.nphs.com,39.97151299378439,-75.15021502745813,,,,,,,,,,,,,,,,"801 West Girard Ave Philadelphia, PA19122","801 W Girard Ave, Philadelphia, Pennsylvania, 19122"
108,108,S00108,https://www.med.upenn.edu/hallmercer/,,,245 South 8th St,,19106,Penn Medicine,,,,,45,,,,39.946703458770344,-75.15446635397774,,,,,,,,,,,,,,,,"245 South 8th St Philadelphia, PA19106","245 S 8th St, Philadelphia, Pennsylvania, 19106"
109,109,S00109,https://www.med.upenn.edu/penn-promotes/mwi.html,,,3400 Spruce St,,19104,Penn Medicine,,,,,29,,,,39.94997900442684,-75.19405296779892,,,,,,,,,,,,,,,,"3400 Spruce St Philadelphia, PA19104","3400 Spruce St, Philadelphia, Pennsylvania, 19104"
110,110,S00110,https://www.med.upenn.edu/psychiatry/presbyterian_treatment.html,,,3910 Powelton Ave,,19104,Penn Medicine,,,,,,,,,39.95860000139038,-75.20075002461707,,,,,,,,,,,,,,,,"3910 Powelton Ave Philadelphia, PA19104","3910 Powelton Ave, Philadelphia, Pennsylvania, 19104"
111,111,S00111,https://www.med.upenn.edu/recovery/,,,"4040 Market St, 2nd Floor",Suites 200 and 220,19104,Penn Medicine,,,29,,,,,,39.956891979070804,-75.20326099135133,,,,,,,,,,,,,,,,"4040 Market St, 2nd Floor Philadelphia, PA19104","4040 Market St, Philadelphia, Pennsylvania, 19104"
112,112,S00112,https://www.pennmedicine.org/,,,51 North 39th St,,19104,Penn Medicine,,,22,,,,,,39.95854799168117,-75.19834399931055,,,,,,,,,,,,,,,,"51 North 39th St Philadelphia, PA19104","51 N 39th St, Philadelphia, Pennsylvania, 19104"
113,113,S00113,https://ppponline.org/,,,2913-2915 Kensington Ave,,19134,Prevention Point,Prevention Point,,,,33,,,,39.99273299704899,-75.11964396346343,,,,,,,,,,,,,,,,"2913-2915 Kensington Ave Philadelphia, PA19134","2913 Kensington Ave, Philadelphia, Pennsylvania, 19134"
114,114,S00114,https://www.projecttransition.com/,,,6201 North Front St,Suite 106,19120,Project Transition,,,1004,,,,,,40.04512999208882,-75.11804000247179,,,,,,,,,,,,,,,,"6201 North Front St Philadelphia, PA19120","6201 N Front St, Philadelphia, Pennsylvania, 19120"
115,115,S00115,https://www.projecttransition.com/,,,5003 Umbria St,,19128,Project Transition,,,1008,,,,,,40.03669201398114,-75.23587598243536,,,,,,,,,,,,,,,,"5003 Umbria St Philadelphia, PA19128","5003 Umbria St, Philadelphia, Pennsylvania, 19128"
116,116,S00116,https://www.projecttransition.com/,,,3901 Conshohocken Ave,,19131,Project Transition,,,1009,,,,,,40.00430999789589,-75.20679496936816,,,,,,,,,,,,,,,,"3901 Conshohocken Ave Philadelphia, PA19131","3901 Conshohocken Ave, Philadelphia, Pennsylvania, 19131"
117,117,S00117,https://www.phmc.org/site/,,,4108 Parkside Ave,,19104,Public Health Management Corporation (PHMC),,,48,,,,,,39.97520798816123,-75.20739201233135,,,,,,,,,,,,,,,,"4108 Parkside Ave Philadelphia, PA19104","4108 Parkside Ave, Philadelphia, Pennsylvania, 19104"
118,118,S00118,https://consortiuminc.org/,,,451 South University Ave,,19104,"The Consortium, Inc",,,"[8, 36]",7.0,7,,,,39.94689211132901,-75.19837472155604,,,,,,,,,,,,,,,,"451 South University Ave Philadelphia, PA19104","451 S University Ave, Philadelphia, Pennsylvania, 19104"
119,119,S00119,https://consortiuminc.org/,,,137 South 58th St,,19139,"The Consortium, Inc",,,1012,,,,,,39.958613999168676,-75.23713703976811,,,,,,,,,,,,,,,,"137 South 58th St Philadelphia, PA19139","137 S 58th St, Philadelphia, Pennsylvania, 19139"
120,120,S00120,http://thehealingway.net/,215-335-3520,,7900 Frankford Ave,,19136,,The Healing Way,,60,17.0,,,,,40.041112001073145,-75.02984695836429,,,,,,,,,,,,,,,,"7900 Frankford Ave Philadelphia, PA19136","7900 Frankford Ave, Philadelphia, Pennsylvania, 19136"
121,121,S00121,http://www.aandorecoveryservices.org/,215-426-1992,,3319 Kensington Ave,,19134,,Alpha and Omega Recovery Services,,1011,,,True,Data needs review,Did site close in 2020? http://web.archive.org/web/20200223214756/http://aandorecoveryservices.org:80/index.html,39.998034005983754,-75.11020300682178,,,,,,,,,,,,,,,,"3319 Kensington Ave Philadelphia, PA19134","3319 Kensington Ave, Philadelphia, Pennsylvania, 19134"
122,122,S00122,http://www.kirkbridecenter.com/,215-471-2600,,111 North 49th St,,19139,,Kirkbride Center,,5,9.0,,,,,39.961158959160514,-75.21937809146134,,,,,,,,,,,,,,,,"111 North 49th St Philadelphia, PA19139","111 N 49th St, Philadelphia, Pennsylvania, 19139"
123,123,S00123,http://www.mwfhe.org/,267-639-9265,215-769-7045,2603 Cecil B. Moore Ave,,19121,,"Men & Women for Human Excellence, Inc., Opioid Treatment Program",,,21.0,,,,"OTP certification ""Provisional"" in Jan 2021; website lists additional phone 215-769-7045; removed ""W[est]"" from street_address to match Google Maps",39.981391988686,-75.17742402627013,,,,,,,,,,,,,,,,"2603 Cecil B. Moore Ave Philadelphia, PA19121","2603 Cecil B Moore Ave, Philadelphia, Pennsylvania, 19121"
124,124,S00124,http://www.pathcenter.org/,215-728-4600,,8220 Castor Ave,,19152,,"People Acting To Help, Inc. (PATH), Main Campus",,1017,,30,,,"[_] Check relationship to Friends Hospital, listed on PATH website as PATH Residential Treatment Facility with same address (4641 Roosevelt Blvd, 19124), but distinct phone = 215-305-6671",40.06505869521622,-75.05319463689516,,,,,,,,,,,,,,,,"8220 Castor Ave Philadelphia, PA19152","8220 Castor Ave, Philadelphia, Pennsylvania, 19152"
125,125,S00125,http://www.soarcorp.org/,215-464-4450,,9150 Marshall St,Suite 2,19114,,SOAR Corporation,,28,18.0,35,,,"[_] Check address_suppl: Suite 2 (2021 website, DBHIDS TAD) or Suite 18 (SAMHSA FT Loc)?",40.07245022366904,-75.03190541777059,,,,,,,,,,,,,,,,"9150 Marshall St Philadelphia, PA19114","9150 Marshall St, Philadelphia, Pennsylvania, 19114"
126,126,S00126,https://fairmountbhs.com/,,,561 Fairthorne Ave,,19128,,,,13,,,,,,40.04304998090632,-75.2212400060246,,,,,,,,,,,,,,,,"561 Fairthorne Ave Philadelphia, PA19128","561 Fairthorne Ave, Philadelphia, Pennsylvania, 19128"
127,127,S00127,https://friendshospital.com/,215-831-4600,,4641 Roosevelt Blvd,,19124,,Friends Hospital,,,,43,,,"[_] Check relationship to PATH Residential Treatment Facility, listed on PATH website with different phone (215-305-6671) but same address (4641 Roosevelt Blvd, 19124)",40.0261720130342,-75.1037790324091,,,,,,,,,,,,,,,,"4641 Roosevelt Blvd Philadelphia, PA19124","4641 Roosevelt Blvd, Philadelphia, Pennsylvania, 19124"
128,128,S00128,https://intercommunityaction.org/,,,6122 Ridge Ave,,19128,,,,65,,,,,,40.03380499316091,-75.21604297459872,,,,,,,,,,,,,,,,"6122 Ridge Ave Philadelphia, PA19128","6122 Ridge Ave, Philadelphia, Pennsylvania, 19128"
129,129,S00129,https://interimhouse.phmc.org/,,,333 West Upsal St,,19119,,,,25,,12,,,,40.04331598060361,-75.18876398689521,,,,,,,,,,,,,,,,"333 West Upsal St Philadelphia, PA19119","333 W Upsal St, Philadelphia, Pennsylvania, 19119"
130,130,S00130,https://kensingtonhospital.org/,,,136 West Diamond St,,19122,,,,59,,17,,,"updated site (""coming soon"") expected by early March 2021",39.98182741479699,-75.13466693289323,,,,,,,,,,,,,,,,"136 West Diamond St Philadelphia, PA19122","136 W Diamond St, Philadelphia, Pennsylvania, 19122"
131,131,S00131,https://kensingtonhospital.org/,,,2100 North Front St,,19122,,,,54,13.0,,,,"updated site (""coming soon"") expected by early March 2021",39.98176301363006,-75.13307797495885,,,,,,,,,,,,,,,,"2100 North Front St Philadelphia, PA19122","2100 N Front St, Philadelphia, Pennsylvania, 19122"
132,132,S00132,https://livengrin.org/,,,9140 Academy Rd,,19114,,,,61,,,,,,40.055338982518464,-75.00791998347637,,,,,,,,,,,,,,,,"9140 Academy Rd Philadelphia, PA19114","9140 Academy Rd, Philadelphia, Pennsylvania, 19114"
133,133,S00133,https://medicine.temple.edu/news/temple-launches-center-excellence-address-opioid-use-pregnancy,,,3401 North Broad St,,19140,,,,,,38,,,,40.00472641850939,-75.15215316969037,,,,,,,,,,,,,,,,"3401 North Broad St Philadelphia, PA19140","3401 N Broad St, Philadelphia, Pennsylvania, 19140"
134,134,S00134,https://rehabafterwork.pyramidhealthcarepa.com/,,,1420 Walnut St,Suite 500,19102,,,,27,,,,,,39.94918301699178,-75.16551904155199,,,,,,,,,,,,,,,,"1420 Walnut St Philadelphia, PA19102","1420 Walnut St, Philadelphia, Pennsylvania, 19102"
135,135,S00135,https://rehabafterwork.pyramidhealthcarepa.com/,,,9815 Roosevelt Boulevard,Suite B,19114,,,,1003,,,,,,40.08593900598862,-75.02211599378946,,,,,,,,,,,,,,,,"9815 Roosevelt Boulevard Philadelphia, PA19114","9815 Roosevelt Blvd, Philadelphia, Pennsylvania, 19114"
136,136,S00136,https://selfhelpmovement.org/,,,2600 Southampton Rd,,19116,,,,30,20.0,,,,,40.1198390457387,-74.99525676608411,,,,,,,,,,,,,,,,"2600 Southampton Rd Philadelphia, PA19116","2600 Southampton Rd, Philadelphia, Pennsylvania, 19116"
137,137,S00137,https://www.amhainc.org/,,,928 Market St,,19107,,,,52,1.0,1,,,,39.951400983711494,-75.15605350220602,,,,,,,,,,,,,,,,"928 Market St Philadelphia, PA19107","928 Market St, Philadelphia, Pennsylvania, 19107"
138,138,S00138,https://www.aporiagroup.com/,,,525 South 4th St,"2nd Floor, Suite 243",19147,,,,1015,,,,,,39.941870979937676,-75.14885598567727,,,,,,,,,,,,,,,,"525 South 4th St Philadelphia, PA19147","525 S 4th St, Philadelphia, Pennsylvania, 19147"
139,139,S00139,https://www.belmontbehavioral.com/,,,4200 Monument Rd,,19131,,,,68,,,,,,39.99948998447485,-75.21534903683484,,,,,,,,,,,,,,,,"4200 Monument Rd Philadelphia, PA19131","4200 Monument Rd, Philadelphia, Pennsylvania, 19131"
140,140,S00140,https://www.cleanslatecenters.com/philadelphia-port-richmond-pennsylvania,,,3380 Memphis St,,19134,CleanSlate Outpatient Addiction Medicine,"CleanSlate (Port Richmond, PA)",,,,,,,,39.99129176332601,-75.10247757749963,,,,,,,,,,,,,,,,"3380 Memphis St Philadelphia, PA19134","3380 Memphis St, Philadelphia, Pennsylvania, 19134"
141,141,S00141,https://www.coraservices.org/,,,8540 Verree Rd,,19111,,,,1002,,,,,,40.08123600393591,-75.06850597219007,,,,,,,,,,,,,,,,"8540 Verree Rd Philadelphia, PA19111","8540 Verree Rd, Philadelphia, Pennsylvania, 19111"
142,142,S00142,https://www.geogroup.com/,,,3768 L St,,19124,,,,1006,,,,,,40.004656217163074,-75.1035355637958,,,,,,,,,,,,,,,,"3768 L St Philadelphia, PA19124","3768 L St, Philadelphia, Pennsylvania, 19124"
143,143,S00143,https://www.gpasspa.org/,,,4943 North 5th St,,19120,,,,37,,11,,,,40.02693598159911,-75.13227599446301,,,,,,,,,,,,,,,,"4943 North 5th St Philadelphia, PA19120","4943 N 5th St, Philadelphia, Pennsylvania, 19120"
144,144,S00144,https://www.hhinc.org/,,,2137 North 33rd St,,19121,,,,40,,,,,,39.989925981494565,-75.18634999878068,,,,,,,,,,,,,,,,"2137 North 33rd St Philadelphia, PA19121","2137 N 33rd St, Philadelphia, Pennsylvania, 19121"
145,145,S00145,https://www.jevshumanservices.org/,,,1745 North 4th St,,19122,,,,53,2.0,14,,,,39.97749079554392,-75.14141824771215,,,,,,,,,,,,,,,,"1745 North 4th St Philadelphia, PA19122","1745 N 4th St, Philadelphia, Pennsylvania, 19122"
146,146,S00146,https://www.jevshumanservices.org/,,,5820 Old York Rd,,19141,,,,55,12.0,13,,,,40.042042979058834,-75.14471297857571,,,,,,,,,,,,,,,,"5820 Old York Rd Philadelphia, PA19141","5820 Old York Rd, Philadelphia, Pennsylvania, 19141"
147,147,S00147,https://www.mainlinehealth.org/find-a-doctor/mario-littman,,,7300 City Ave,Suite 203,19151,,,,,,,,,,39.980209008781344,-75.26763199608197,,,,,,,,,,,,,,,,"7300 City Ave Philadelphia, PA19151","7300 City Ave, Philadelphia, Pennsylvania, 19151"
