DB:,site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,hfp_fqhc_id,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted
100,S00100,http://netcenters.org/services/addiction-recovery-programs/,215-743-6150,,2205 Bridge St.,,19137,NET Community Care,NET Steps,NULL,"[2, 10]",11,24,,,"[_] Does this record need a separate entry for NET Community Care: Wharton Residential Center (phone = 215-288-5490, samhsa_ftloc = 10)?",,,,,,,,,,,,,,,,,
101,S00101,http://netcenters.org/services/addiction-recovery-programs/,267-348-3550,,7520 State Rd,,19136,NET Community Care,NET Steps,NULL,4,15,25,,,,,,,,,,,,,,,,,,,,
102,S00102,http://netcenters.org/services/addiction-recovery-programs/,215-451-7100,,499 North 5th St,Suite C,19123,NET Community Care,Spring Garden Counseling Center,NULL,14,19,"[23, 42]",,,Admin office is at Suite A of this address (phone 215-451-7000),,,,,,,,,,,,,,,,,
103,S00103,http://netcenters.org/services/addiction-recovery-programs/,267-597-3920,,4625 Frankford Ave,,19124,NET Community Care,Frankford Avenue Counseling Center,NULL,51,NULL,26,,,,,,,,,,,,,,,,,,,,
104,S00104,http://netcenters.org/services/addiction-recovery-programs/,215-747-6480,,5501 Chestnut St,,19139,NET Community Care,West Counseling Center,NULL,1018,NULL,NULL,,,,,,,,,,,,,,,,,,,,
105,S00105,http://netcenters.org/services/addiction-recovery-programs/,215-226-1600,,2701 North Broad St,,19132,NET Community Care,North Counseling Center,NULL,NULL,NULL,NULL,True,Data needs review,Added from NET website: Does location offer MAT?,,,,,,,,,,,,,,,,,
106,S00106,https://bewellctr.org/,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),The Behavioral Wellness Center at Girard,NULL,"[47, 9, 46, 49]",6,22,,,"See also FQHC record for same address; also, URL www.nphs.com redirects to bewellctr.org",,,,,,,,,,,,,,,,,
107,S00107,http://www.nphs.com,215-787-2407,,801 West Girard Ave,,19122,North Philadelphia Health Systems (NPHS),Goldman Clinic / Girard Medical Center,NULL,"[41, 44, 45]",6,22,,,URL redirects from www.nphs.com,,,,,,,,,,,,,,,,,
108,S00108,https://www.med.upenn.edu/hallmercer/,,,245 South 8th St,,19106,Penn Medicine,,NULL,NULL,NULL,45,,,,,,,,,,,,,,,,,,,,
109,S00109,https://www.med.upenn.edu/penn-promotes/mwi.html,,,3400 Spruce St,,19104,Penn Medicine,,NULL,NULL,NULL,29,,,,,,,,,,,,,,,,,,,,
110,S00110,https://www.med.upenn.edu/psychiatry/presbyterian_treatment.html,,,3910 Powelton Ave,,19104,Penn Medicine,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
111,S00111,https://www.med.upenn.edu/recovery/,,,"4040 Market St, 2nd Floor",Suites 200 and 220,19104,Penn Medicine,,NULL,29,NULL,NULL,,,,,,,,,,,,,,,,,,,,
112,S00112,https://www.pennmedicine.org/,,,51 North 39th St,,19104,Penn Medicine,,NULL,22,NULL,NULL,,,,,,,,,,,,,,,,,,,,
113,S00113,https://ppponline.org/,,,2913-2915 Kensington Ave,,19134,Prevention Point,Prevention Point,NULL,NULL,NULL,33,,,,,,,,,,,,,,,,,,,,
114,S00114,https://www.projecttransition.com/,,,6201 North Front St,Suite 106,19120,Project Transition,,NULL,1004,NULL,NULL,,,,,,,,,,,,,,,,,,,,
115,S00115,https://www.projecttransition.com/,,,5003 Umbria St,,19128,Project Transition,,NULL,1008,NULL,NULL,,,,,,,,,,,,,,,,,,,,
116,S00116,https://www.projecttransition.com/,,,3901 Conshohocken Ave,,19131,Project Transition,,NULL,1009,NULL,NULL,,,,,,,,,,,,,,,,,,,,
117,S00117,https://www.phmc.org/site/,,,4108 Parkside Ave,,19104,Public Health Management Corporation (PHMC),,NULL,48,NULL,NULL,,,,,,,,,,,,,,,,,,,,
118,S00118,https://consortiuminc.org/,,,451 South University Ave,,19104,"The Consortium, Inc",,NULL,"[8, 36]",7,7,,,,,,,,,,,,,,,,,,,,
119,S00119,https://consortiuminc.org/,,,137 South 58th St,,19139,"The Consortium, Inc",,NULL,1012,NULL,NULL,,,,,,,,,,,,,,,,,,,,
120,S00120,http://thehealingway.net/,215-335-3520,,7900 Frankford Ave,,19136,,The Healing Way,NULL,60,17,NULL,,,,,,,,,,,,,,,,,,,,
121,S00121,http://www.aandorecoveryservices.org/,215-426-1992,,3319 Kensington Ave,,19134,,Alpha and Omega Recovery Services,NULL,1011,NULL,NULL,True,Data needs review,Did site close in 2020? http://web.archive.org/web/20200223214756/http://aandorecoveryservices.org:80/index.html,,,,,,,,,,,,,,,,,
122,S00122,http://www.kirkbridecenter.com/,215-471-2600,,111 North 49th St,,19139,,Kirkbride Center,NULL,5,9,NULL,,,,,,,,,,,,,,,,,,,,
123,S00123,http://www.mwfhe.org/,267-639-9265,215-769-7045,2603 Cecil B. Moore Ave,,19121,,"Men & Women for Human Excellence, Inc., Opioid Treatment Program",NULL,NULL,21,NULL,,,"OTP certification ""Provisional"" in Jan 2021; website lists additional phone 215-769-7045; removed ""W[est]"" from street_address to match Google Maps",,,,,,,,,,,,,,,,,
124,S00124,http://www.pathcenter.org/,215-728-4600,,8220 Castor Ave,,19152,,"People Acting To Help, Inc. (PATH), Main Campus",NULL,1017,NULL,30,,,"[_] Check relationship to Friends Hospital, listed on PATH website as PATH Residential Treatment Facility with same address (4641 Roosevelt Blvd, 19124), but distinct phone = 215-305-6671",,,,,,,,,,,,,,,,,
125,S00125,http://www.soarcorp.org/,215-464-4450,,9150 Marshall St,Suite 2,19114,,SOAR Corporation,NULL,28,18,35,,,"[_] Check address_suppl: Suite 2 (2021 website, DBHIDS TAD) or Suite 18 (SAMHSA FT Loc)?",,,,,,,,,,,,,,,,,
126,S00126,https://fairmountbhs.com/,,,561 Fairthorne Ave,,19128,,,NULL,13,NULL,NULL,,,,,,,,,,,,,,,,,,,,
127,S00127,https://friendshospital.com/,215-831-4600,,4641 Roosevelt Blvd,,19124,,Friends Hospital,NULL,NULL,NULL,43,,,"[_] Check relationship to PATH Residential Treatment Facility, listed on PATH website with different phone (215-305-6671) but same address (4641 Roosevelt Blvd, 19124)",,,,,,,,,,,,,,,,,
128,S00128,https://intercommunityaction.org/,,,6122 Ridge Ave,,19128,,,NULL,65,NULL,NULL,,,,,,,,,,,,,,,,,,,,
129,S00129,https://interimhouse.phmc.org/,,,333 West Upsal St,,19119,,,NULL,25,NULL,12,,,,,,,,,,,,,,,,,,,,
130,S00130,https://kensingtonhospital.org/,,,136 West Diamond St,,19122,,,NULL,59,NULL,17,,,"updated site (""coming soon"") expected by early March 2021",,,,,,,,,,,,,,,,,
131,S00131,https://kensingtonhospital.org/,,,2100 North Front St,,19122,,,NULL,54,13,NULL,,,"updated site (""coming soon"") expected by early March 2021",,,,,,,,,,,,,,,,,
132,S00132,https://livengrin.org/,,,9140 Academy Rd,,19114,,,NULL,61,NULL,NULL,,,,,,,,,,,,,,,,,,,,
133,S00133,https://medicine.temple.edu/news/temple-launches-center-excellence-address-opioid-use-pregnancy,,,3401 North Broad St,,19140,,,NULL,NULL,NULL,38,,,,,,,,,,,,,,,,,,,,
134,S00134,https://rehabafterwork.pyramidhealthcarepa.com/,,,1420 Walnut St,Suite 500,19102,,,NULL,27,NULL,NULL,,,,,,,,,,,,,,,,,,,,
135,S00135,https://rehabafterwork.pyramidhealthcarepa.com/,,,9815 Roosevelt Boulevard,Suite B,19114,,,NULL,1003,NULL,NULL,,,,,,,,,,,,,,,,,,,,
136,S00136,https://selfhelpmovement.org/,,,2600 Southampton Rd,,19116,,,NULL,30,20,NULL,,,,,,,,,,,,,,,,,,,,
137,S00137,https://www.amhainc.org/,,,928 Market St,,19107,,,NULL,52,1,1,,,,,,,,,,,,,,,,,,,,
138,S00138,https://www.aporiagroup.com/,,,525 South 4th St,"2nd Floor, Suite 243",19147,,,NULL,1015,NULL,NULL,,,,,,,,,,,,,,,,,,,,
139,S00139,https://www.belmontbehavioral.com/,,,4200 Monument Rd,,19131,,,NULL,68,NULL,NULL,,,,,,,,,,,,,,,,,,,,
140,S00140,https://www.cleanslatecenters.com/philadelphia-port-richmond-pennsylvania,,,3380 Memphis St,,19134,CleanSlate Outpatient Addiction Medicine,"CleanSlate (Port Richmond, PA)",NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
141,S00141,https://www.coraservices.org/,,,8540 Verree Rd,,19111,,,NULL,1002,NULL,NULL,,,,,,,,,,,,,,,,,,,,
142,S00142,https://www.geogroup.com/,,,3768 L St,,19124,,,NULL,1006,NULL,NULL,,,,,,,,,,,,,,,,,,,,
143,S00143,https://www.gpasspa.org/,,,4943 North 5th St,,19120,,,NULL,37,NULL,11,,,,,,,,,,,,,,,,,,,,
144,S00144,https://www.hhinc.org/,,,2137 North 33rd St,,19121,,,NULL,40,NULL,NULL,,,,,,,,,,,,,,,,,,,,
145,S00145,https://www.jevshumanservices.org/,,,1745 North 4th St,,19122,,,NULL,53,2,14,,,,,,,,,,,,,,,,,,,,
146,S00146,https://www.jevshumanservices.org/,,,5820 Old York Rd,,19141,,,NULL,55,12,13,,,,,,,,,,,,,,,,,,,,
147,S00147,https://www.mainlinehealth.org/find-a-doctor/mario-littman,,,7300 City Ave,Suite 203,19151,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
148,S00148,https://www.mazzonicenter.org/,,,1348 Bainbridge St,,19147,,,NULL,34,NULL,NULL,,,,,,,,,,,,,,,,,,,,
149,S00149,https://www.paatc.org/,,,329 East Wister St,,19144,,,NULL,1014,NULL,NULL,,,,,,,,,,,,,,,,,,,,
150,S00150,https://www.philachildrenscrc.com/,,,3300 Henry Ave,,19129,,Philadelphia Children’s Crisis Response Center,NULL,NULL,NULL,47,,,,,,,,,,,,,,,,,,,,
151,S00151,https://www.philadelphia.va.gov/,,,3900 Woodland Ave,,19104,,Philadelphia VA Medical Center (PVAMC),NULL,"[18, 1]",5,NULL,,,,,,,,,,,,,,,,,,,,
152,S00152,https://www.providencetreatment.com/,,,1528 Walnut St,Suite 1410,19102,,,NULL,1001,NULL,NULL,,,,,,,,,,,,,,,,,,,,
153,S00153,https://www.rhd.org/morrishome/,,,5037 Woodland Ave,,19143,,,NULL,1013,NULL,NULL,,,,,,,,,,,,,,,,,,,,
154,S00154,https://www.swnustop.com/,,,5616 Woodland Ave,,19143,,,NULL,43,NULL,NULL,,,,,,,,,,,,,,,,,,,,
155,S00155,https://www.templehealth.org/locations/temple-health-episcopal-campus,,,100 East Lehigh Ave,,19125,,,NULL,NULL,NULL,46,,,,,,,,,,,,,,,,,,,,
156,S00156,https://www.thebridgephiladelphia.org/,,,1100 Adams Ave,,19124,,,NULL,1007,NULL,NULL,,,,,,,,,,,,,,,,,,,,
157,S00157,https://www.trinityhealthma.org/,,,501 South 54th St,,19143,,,NULL,38,10,50,,,URL redirects from mercyhealth.org,,,,,,,,,,,,,,,,,
158,S00158,https://www.wedgepc.com/,,,4243 Frankford Ave,,19124,Wedge Recovery Centers,,NULL,15,NULL,41,,,,,,,,,,,,,,,,,,,,
159,S00159,https://www.wedgepc.com/,,,3609 North Broad St,,19140,Wedge Recovery Centers,,NULL,16,NULL,39,,,,,,,,,,,,,,,,,,,,
160,S00160,https://www.wedgepc.com/,,,2009 South Broad St,,19148,Wedge Recovery Centers,,NULL,17,NULL,40,,,,,,,,,,,,,,,,,,,,
161,S00161,https://www.wifamilyhealth.org/,,,5936 Chestnut St,1st Floor,19139,,,NULL,64,NULL,NULL,,,,,,,,,,,,,,,,,,,,
162,S00162,https://aschermd.com/,646-812-1421,,130 South 18th St,Apt 2102,19103,,"Michael Ascher, M.D., Psychiatry in Philadelphia & the Main Line",NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
163,S00163,https://www.bayada.com/offices/pa/philadelphia/1020-n--delaware-ave/home-health,,,1020 North Delaware Ave,,19125,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
164,S00164,https://couragemedicine.org/,,,1010 West Lehigh Ave,,19133,,Courage Medicine,NULL,NULL,NULL,NULL,True,Data needs review,This address is listed in the provider's data but conflicts with practice website,,,,,,,,,,,,,,,,,
165,S00165,https://couragemedicine.org/about/,215-385-5031,,7198 Castor Ave,,19149,,Courage Medicine,NULL,NULL,NULL,NULL,True,Data needs review,"This address is listed on the practice website, but conflicts with provider's data",,,,,,,,,,,,,,,,,
166,S00166,https://beasleyaddiction.com/,267-417-9078,,2401 Pennsylvania Ave,E 1C44-45,19130,,Beasley Addiction Specialists,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
167,S00167,https://www.beaumontretirement.com/about/management-team/,,,1201 Latona St,,19147,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
168,S00168,https://chrispagnanimd.com/,267-687-0655,,1528 Walnut St,Suite 1415,19102,,"Chris Pagnani, MD PC, Private Practice of Psychiatry, Philadelphia",NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
169,S00169,https://www.familymedassoc.com/,,,205 North Broad St,Suite 500,19107,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
170,S00170,https://richardsobelmd.com/,,,1500 Walnut St,Suite 902,19102,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
171,S00171,https://www.myexecutivehealth.com/,,,1845 Walnut St,Suite 1540,19103,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
172,S00172,http://www.philapainclinic.com/,215-969-2331,,12000 Bustleton Ave,Suite 208,19116,,Phila Pain Clinic,NULL,NULL,NULL,NULL,True,Data needs review,[_] Is pain management clinic suitable for listing on MAT finder?,,,,,,,,,,,,,,,,,
173,S00173,https://www.hhinc.org/,,,5901 Market St,3rd Floor,19139,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
174,S00174,https://www.cctckids.org/about-us/overview/,,,1080 North Delaware Ave,Suite 600,19125,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
175,S00175,,,,3396 Miller St,,19134,,New Journeys in Recovery,NULL,1010,NULL,NULL,True,Data needs review,Did site close after 2020? http://web.archive.org/web/20201020175717/http://njir-phila.org/,,,,,,,,,,,,,,,,,
176,S00176,https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/,215-844-1020,,251 East Bringhurst St,,19144,"Covenant House Health Services, Inc.",Main Admin Office,64,NULL,NULL,NULL,True,Not a practice site,URL converted to most recent archival copy available (2015),,,,,,,,,,,,,,,,,
177,S00177,,215-248-7561,,8125 Stenton Ave,,19150,"Covenant House Health Services, Inc.",Mt. Pleasant Health Center,67,NULL,NULL,NULL,,,"Only indirect URLs found, e.g. https://www.freeclinics.com/det/pa_19150_mt-pleasant-medical-center-covenant-house",,,,,,,,,,,,,,,,,
178,S00178,,267-331-9832,,138 Chelten Ave,2nd Floor Rear,19144,"Covenant House Health Services, Inc.",Covenant House Health and Dental Center,66,NULL,NULL,NULL,,,No online information found for this street address,,,,,,,,,,,,,,,,,
179,S00179,,215-844-0181,,251 East Bringhurst St,,19144,"Covenant House Health Services, Inc.",Covenant House Health Services,65,NULL,NULL,NULL,,,"URL from HFP (http://www.covenanthousehealth.org/) has been inactive since 2016 | Only indirect URLs found, e.g. https://www.freeclinics.com/det/pa_Covenant_House_Inc",,,,,,,,,,,,,,,,,
